shipmode;sales;quantity;discount;profit;segment;region;state;subcategory;category;orderdate_day;orderdate_month;orderdate_year;shipdate_day;shipdate_month;shipdate_year;preparationtime;Pais1;Pais2;Pais3;Pais4;Pais5;Pais6
First Class;825174;9;3;-117882;Corporate;Central;Illinois;Bookcases;Furniture;4;9;2016;6;9;2016;2;España;Francia;Italia;Portugal;;
Standard Class;411332;4;15;-48392;Consumer;West;California;Bookcases;Furniture;5;9;2014;9;9;2014;4;España;Francia;Italia;Portugal;;
Same Day;411332;4;15;-48392;Home Office;West;California;Bookcases;Furniture;28;11;2013;28;11;2013;0;España;Francia;Italia;Portugal;;
First Class;24196;2;0;338744;Consumer;South;Louisiana;Bookcases;Furniture;30;5;2016;31;5;2016;1;España;Francia;Italia;Portugal;;
Standard Class;34196;2;0;786508;Home Office;East;Rhode Island;Bookcases;Furniture;31;12;2013;7;1;2014;7;España;Francia;Italia;Portugal;;
First Class;359058;3;3;-359058;Home Office;Central;Illinois;Bookcases;Furniture;24;3;2014;27;3;2014;3;España;Francia;Italia;Portugal;;
Same Day;136784;1;2;51294;Consumer;East;New York;Bookcases;Furniture;5;6;2015;5;6;2015;0;España;Francia;Italia;Portugal;;
Standard Class;102588;6;0;2359524;Corporate;East;Delaware;Bookcases;Furniture;19;11;2013;25;11;2013;6;España;Francia;Italia;Portugal;;
Standard Class;290666;2;15;273568;Corporate;West;California;Bookcases;Furniture;26;5;2013;30;5;2013;4;España;Francia;Italia;Portugal;;
Second Class;14574;3;0;233184;Consumer;South;Louisiana;Bookcases;Furniture;6;8;2016;10;8;2016;4;España;Francia;Italia;Portugal;;
Standard Class;102018;7;7;-1836324;Consumer;West;Colorado;Bookcases;Furniture;19;12;2016;23;12;2016;4;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;19432;4;0;310912;Corporate;Central;Michigan;Bookcases;Furniture;21;9;2014;27;9;2014;6;España;Francia;Italia;Portugal;Reino Unido;
Second Class;155456;4;2;-77728;Consumer;South;Florida;Bookcases;Furniture;8;8;2013;10;8;2013;2;España;Francia;Italia;Portugal;Reino Unido;
Second Class;4858;1;0;77728;Consumer;West;Washington;Bookcases;Furniture;30;1;2015;1;2;2015;2;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;77728;2;2;-38864;Consumer;South;North Carolina;Bookcases;Furniture;15;6;2016;19;6;2016;4;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;21294;3;0;574938;Home Office;Central;Michigan;Bookcases;Furniture;14;6;2013;20;6;2013;6;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;63882;9;0;1724814;Consumer;South;Arkansas;Bookcases;Furniture;19;8;2013;26;8;2013;7;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;321568;2;2;-160784;Consumer;East;New York;Bookcases;Furniture;24;11;2016;1;12;2016;7;España;Francia;Italia;Portugal;Reino Unido;
First Class;4099992;3;32;-964704;Consumer;Central;Texas;Bookcases;Furniture;29;6;2016;30;6;2016;1;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;9566648;7;32;-2250976;Corporate;Central;Texas;Bookcases;Furniture;28;9;2015;4;10;2015;6;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;30147;3;5;-2049996;Consumer;East;Pennsylvania;Bookcases;Furniture;16;8;2014;20;8;2014;4;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;9566648;7;32;-2250976;Consumer;Central;Texas;Bookcases;Furniture;6;11;2015;10;11;2015;4;España;Francia;Italia;Portugal;Reino Unido;
Second Class;24196;2;0;24196;Corporate;Central;Wisconsin;Bookcases;Furniture;14;8;2015;19;8;2015;5;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;205666;2;15;-12098;Consumer;West;California;Bookcases;Furniture;30;3;2013;4;4;2013;5;España;Francia;Italia;Portugal;Reino Unido;
First Class;616998;6;15;-36294;Corporate;West;California;Bookcases;Furniture;28;10;2013;31;10;2013;3;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;308499;3;15;-18147;Corporate;West;California;Bookcases;Furniture;12;4;2013;17;4;2013;5;España;Francia;Italia;Portugal;Reino Unido;
First Class;514165;5;15;-30245;Home Office;West;California;Bookcases;Furniture;10;6;2016;13;6;2016;3;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;205666;2;15;-12098;Consumer;West;California;Bookcases;Furniture;4;12;2015;8;12;2015;4;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;290352;3;2;-36294;Consumer;South;Florida;Bookcases;Furniture;20;11;2014;27;11;2014;7;España;Francia;Italia;Portugal;Reino Unido;
Standard Class;102833;1;15;-6049;Consumer;West;California;Bookcases;Furniture;16;4;2016;20;4;2016;4;España;Francia;Italia;Portugal;;
Standard Class;36294;3;0;36294;Consumer;East;Maryland;Bookcases;Furniture;20;9;2013;24;9;2013;4;España;Francia;Italia;Portugal;;
First Class;12098;1;0;12098;Consumer;East;New Jersey;Bookcases;Furniture;18;10;2015;21;10;2015;3;España;Reino Unido;Italia;Portugal;;
First Class;52326;9;0;1255824;Consumer;South;Virginia;Bookcases;Furniture;16;4;2014;18;4;2014;2;España;Reino Unido;Italia;Portugal;;
First Class;8721;3;5;-453492;Consumer;East;Pennsylvania;Bookcases;Furniture;7;7;2016;9;7;2016;2;España;Reino Unido;Italia;Portugal;;
Standard Class;186048;4;2;93024;Corporate;East;New York;Bookcases;Furniture;20;11;2014;25;11;2014;5;España;Reino Unido;Italia;Portugal;;
Second Class;148257;3;15;156978;Home Office;West;California;Bookcases;Furniture;9;12;2016;11;12;2016;2;España;Reino Unido;Italia;Portugal;;
Second Class;17442;3;0;418608;Consumer;West;Washington;Bookcases;Furniture;11;6;2016;13;6;2016;2;España;Reino Unido;Italia;Portugal;;
First Class;90882;3;7;-1908522;Corporate;West;Colorado;Bookcases;Furniture;11;10;2015;13;10;2015;2;España;Reino Unido;Italia;Portugal;;
Standard Class;6234648;7;32;-1191918;Corporate;Central;Texas;Bookcases;Furniture;6;5;2016;11;5;2016;5;España;Reino Unido;Italia;Portugal;;
Second Class;222666;2;15;104784;Consumer;West;California;Bookcases;Furniture;9;11;2013;11;11;2013;2;España;Reino Unido;Italia;Portugal;;
First Class;890664;1;32;-170274;Home Office;Central;Texas;Bookcases;Furniture;18;2;2016;20;2;2016;2;España;Reino Unido;Italia;Portugal;;
Second Class;127764;6;7;-191646;Consumer;West;Arizona;Bookcases;Furniture;14;7;2014;19;7;2014;5;España;Reino Unido;Italia;Portugal;;
Standard Class;1930656;4;32;-198744;Consumer;Central;Texas;Bookcases;Furniture;20;6;2013;24;6;2013;4;España;Reino Unido;Italia;Portugal;;
